# Constructed from biom file
#OTU ID	U307-before	U307-during	U310-before	U310-during	U311-before	U311-during	U312-before	U312-during	U313-before	U313-during	U315-before	U315-during	U316-before	U316-during	U317-before	U317-during	U318-before	U318-during	U322-before	U322-during	U323-before	U323-during	U325-before	U325-during	U326-before	U326-during	U327-before	U327-during	U328-before	U328-during	U329-before	U329-during	U331-before	U331-during	U332-before	U332-during	U333-before	U333-during	U334-before	U334-during	U335-before	U335-during	U336-before	U336-during	U338-before	U338-during	U339-before	U339-during	U341-before	U341-during	U343-before	U343-during	U344-before	U344-during
19715b1593c19aa6d35a4d1e3cd09374	128.0	115.0	0.0	58.0	134.0	113.0	146.0	228.0	159.0	119.0	346.0	182.0	116.0	63.0	37.0	83.0	18.0	47.0	98.0	76.0	0.0	0.0	38.0	49.0	121.0	166.0	40.0	106.0	2168.0	275.0	0.0	0.0	0.0	0.0	78.0	0.0	133.0	0.0	38.0	0.0	45.0	194.0	0.0	156.0	98.0	131.0	388.0	102.0	297.0	344.0	13.0	0.0	201.0	114.0
836cd5ea357ad392c00a7e48d921be1d	0.0	0.0	48.0	16.0	587.0	467.0	0.0	0.0	93.0	231.0	46.0	30.0	91.0	62.0	25.0	86.0	69.0	51.0	222.0	194.0	359.0	130.0	62.0	70.0	120.0	226.0	299.0	385.0	0.0	0.0	0.0	0.0	312.0	111.0	141.0	210.0	0.0	0.0	0.0	0.0	182.0	289.0	292.0	509.0	120.0	220.0	297.0	53.0	295.0	92.0	213.0	34.0	0.0	0.0
601101d33cdf43a40bd674a50711af52	265.0	227.0	0.0	0.0	303.0	0.0	542.0	310.0	372.0	17.0	0.0	0.0	0.0	0.0	79.0	112.0	92.0	112.0	355.0	278.0	94.0	59.0	175.0	180.0	0.0	0.0	83.0	324.0	556.0	71.0	0.0	0.0	186.0	0.0	497.0	0.0	0.0	0.0	363.0	49.0	40.0	565.0	155.0	291.0	154.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	31.0
e865f29a716e8d51f83931befa951240	458.0	291.0	56.0	97.0	127.0	538.0	0.0	0.0	13.0	2.0	81.0	100.0	366.0	56.0	66.0	204.0	26.0	9.0	7.0	0.0	79.0	93.0	60.0	98.0	777.0	353.0	95.0	207.0	1888.0	44.0	6.0	0.0	100.0	137.0	146.0	14.0	0.0	0.0	0.0	0.0	12.0	127.0	0.0	0.0	20.0	38.0	0.0	0.0	93.0	38.0	59.0	0.0	44.0	11.0
36d9ad396b85196c9b4cf68b81789585	361.0	370.0	0.0	0.0	409.0	308.0	0.0	30.0	0.0	0.0	665.0	433.0	0.0	0.0	73.0	442.0	36.0	81.0	149.0	49.0	0.0	0.0	0.0	0.0	446.0	367.0	259.0	225.0	0.0	0.0	0.0	0.0	87.0	281.0	0.0	38.0	237.0	26.0	178.0	219.0	0.0	0.0	0.0	0.0	143.0	313.0	0.0	0.0	304.0	353.0	22.0	22.0	0.0	0.0
5669f9055e393154386d3ad1196d3f03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6855.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21401b105dc53b367b8fdc0ec97a9f02	0.0	0.0	48.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	1223.0	1045.0	0.0	0.0	239.0	826.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0	208.0	0.0	0.0	1034.0	1006.0	153.0	105.0	0.0	0.0
5a6c87d6a4eb5e114959f6192f29b641	373.0	1081.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	718.0	0.0	0.0	0.0	0.0	365.0	530.0	0.0	280.0	0.0	0.0	69.0	699.0	360.0	57.0	0.0	0.0	0.0	0.0	169.0	454.0	0.0	0.0	447.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	240.0	0.0	0.0	0.0
00a96fbd0ac34bfd245f9c24f8737f7d	222.0	153.0	138.0	325.0	150.0	896.0	256.0	46.0	72.0	13.0	204.0	288.0	246.0	92.0	112.0	89.0	0.0	0.0	42.0	58.0	453.0	593.0	43.0	23.0	160.0	91.0	114.0	127.0	0.0	0.0	90.0	50.0	0.0	18.0	43.0	0.0	0.0	0.0	592.0	274.0	0.0	0.0	0.0	16.0	0.0	17.0	18.0	28.0	42.0	21.0	28.0	12.0	53.0	0.0
35ffcc3b809d667286737d79670b8de5	0.0	995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	164.0	1234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.0	91.0	0.0	27.0	582.0	136.0	0.0	0.0	0.0	0.0	217.0	0.0	19.0	8.0	1198.0	334.0	20.0	57.0	41.0	105.0	46.0	97.0	46.0	20.0	0.0	0.0	235.0	288.0	0.0	5.0
fd496fd32dc8c08ade2e8b6c9d8ee13d	811.0	445.0	10.0	109.0	19.0	126.0	38.0	18.0	24.0	77.0	468.0	251.0	0.0	51.0	143.0	46.0	1378.0	357.0	5.0	36.0	400.0	122.0	77.0	126.0	89.0	75.0	78.0	44.0	19.0	0.0	12.0	11.0	0.0	10.0	85.0	0.0	0.0	0.0	44.0	19.0	0.0	9.0	0.0	7.0	17.0	20.0	9.0	0.0	32.0	51.0	0.0	6.0	16.0	30.0
86ff0efd7fd88b82809500c90c4a7832	535.0	665.0	102.0	72.0	152.0	874.0	0.0	0.0	46.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	65.0	74.0	114.0	56.0	108.0	50.0	51.0	118.0	119.0	65.0	536.0	0.0	0.0	174.0	385.0	93.0	135.0	86.0	44.0	0.0	0.0	290.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	61.0	110.0	27.0	0.0	0.0
a730ef0685ea600be854be1842a6b362	240.0	115.0	116.0	71.0	83.0	103.0	0.0	0.0	150.0	66.0	963.0	304.0	0.0	0.0	344.0	844.0	106.0	129.0	76.0	216.0	55.0	33.0	17.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	198.0	104.0	0.0	0.0	164.0	103.0	56.0	41.0	347.0	5.0	0.0	0.0	328.0	46.0	0.0	0.0
bed671b4676144142cebd192b690f499	414.0	309.0	57.0	123.0	26.0	58.0	290.0	24.0	46.0	10.0	83.0	104.0	219.0	49.0	301.0	116.0	188.0	49.0	195.0	154.0	260.0	76.0	38.0	51.0	37.0	25.0	114.0	64.0	0.0	0.0	537.0	149.0	29.0	40.0	181.0	11.0	0.0	0.0	316.0	137.0	20.0	0.0	18.0	27.0	12.0	21.0	0.0	0.0	10.0	0.0	338.0	35.0	172.0	82.0
818434292143daca42a3168f3728da82	0.0	0.0	0.0	0.0	0.0	0.0	974.0	396.0	0.0	0.0	367.0	185.0	893.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	41.0	0.0	0.0	325.0	242.0	0.0	215.0	0.0	0.0	0.0	146.0	333.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	192.0	45.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0
5f25904e073fe5c114cadfde74349518	126.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	45.0	278.0	479.0	45.0	23.0	65.0	458.0	0.0	0.0	72.0	41.0	17.0	72.0	54.0	76.0	158.0	277.0	0.0	101.0	0.0	0.0	0.0	0.0	710.0	1176.0	0.0	32.0	0.0	0.0	24.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	16.0	121.0	142.0	0.0	0.0	0.0	0.0
